person1_id,person2_id,sentence_id,description,is_true,relation_id,id
eng-WL-110-174612-12990508_35_23,eng-WL-110-174612-12990508_35_26,eng-WL-110-174612-12990508_35,Kara DioGuardi-Nick Lachey,f,eng-WL-110-174612-12990508_35_23-eng-WL-110-174612-12990508_35_26,177538
eng-WL-11-174595-12968575_9_1,eng-WL-11-174595-12968575_9_58,eng-WL-11-174595-12968575_9,Lynne Spears-Britney Spears,f,eng-WL-11-174595-12968575_9_1-eng-WL-11-174595-12968575_9_58,168959
139064@43_31,139064@43_38,139064@43,Charles H. Eglee-Melissa Rosenberg,f,139064@43_31-139064@43_38,153088
NYT_ENG_20071102.0041.LDC2009T13_500_26,NYT_ENG_20071102.0041.LDC2009T13_500_2,NYT_ENG_20071102.0041.LDC2009T13_500,Joan Cusack-John Cusack,f,NYT_ENG_20071102.0041.LDC2009T13_500_26-NYT_ENG_20071102.0041.LDC2009T13_500_2,207191
AFP_ENG_20070427.0098.LDC2009T13_155_5,AFP_ENG_20070427.0098.LDC2009T13_155_26,AFP_ENG_20070427.0098.LDC2009T13_155,Brad Pitt-Halle Berry,f,AFP_ENG_20070427.0098.LDC2009T13_155_5-AFP_ENG_20070427.0098.LDC2009T13_155_26,42642
LTW_ENG_20081112.0077.LDC2009T13_895_18,LTW_ENG_20081112.0077.LDC2009T13_895_21,LTW_ENG_20081112.0077.LDC2009T13_895,Lauren Bacall-Katharine Hepburn,f,LTW_ENG_20081112.0077.LDC2009T13_895_18-LTW_ENG_20081112.0077.LDC2009T13_895_21,204780
38947@0_49,38947@0_43,38947@0,Leslie Mann-Katherine Heigl,f,38947@0_49-38947@0_43,155018
eng-NG-31-141955-9977438_862_7,eng-NG-31-141955-9977438_862_10,eng-NG-31-141955-9977438_862,Moses-Aaron,f,eng-NG-31-141955-9977438_862_7-eng-NG-31-141955-9977438_862_10,29031
APW_ENG_20070917.0017.LDC2009T13_245_35,APW_ENG_20070917.0017.LDC2009T13_245_16,APW_ENG_20070917.0017.LDC2009T13_245,Steve Carell-Eva Longoria,f,APW_ENG_20070917.0017.LDC2009T13_245_35-APW_ENG_20070917.0017.LDC2009T13_245_16,262580
eng-WL-11-174595-12967801_186_12,eng-WL-11-174595-12967801_186_0,eng-WL-11-174595-12967801_186,Deborah Kaplan-Ryan Phillippe,f,eng-WL-11-174595-12967801_186_12-eng-WL-11-174595-12967801_186_0,126997
NYT_ENG_20070313.0041.LDC2009T13_253_15,NYT_ENG_20070313.0041.LDC2009T13_253_8,NYT_ENG_20070313.0041.LDC2009T13_253,Rachel-Andrew Jackson,f,NYT_ENG_20070313.0041.LDC2009T13_253_15-NYT_ENG_20070313.0041.LDC2009T13_253_8,56648
LTW_ENG_20081114.0073.LDC2009T13_247_50,LTW_ENG_20081114.0073.LDC2009T13_247_28,LTW_ENG_20081114.0073.LDC2009T13_247,Emmanuelle Devos-Catherine Deneuve,f,LTW_ENG_20081114.0073.LDC2009T13_247_50-LTW_ENG_20081114.0073.LDC2009T13_247_28,245569
eng-WL-11-174592-12941134_88_17,eng-WL-11-174592-12941134_88_0,eng-WL-11-174592-12941134_88,Steven Weber-Nora,f,eng-WL-11-174592-12941134_88_17-eng-WL-11-174592-12941134_88_0,103824
NYT_ENG_20070815.0038.LDC2009T13_143_57,NYT_ENG_20070815.0038.LDC2009T13_143_19,NYT_ENG_20070815.0038.LDC2009T13_143,Jackie Gleason-Bob Newhart,f,NYT_ENG_20070815.0038.LDC2009T13_143_57-NYT_ENG_20070815.0038.LDC2009T13_143_19,224568
NYT_ENG_20080327.0098.LDC2009T13_506_37,NYT_ENG_20080327.0098.LDC2009T13_506_6,NYT_ENG_20080327.0098.LDC2009T13_506,Patty-Sean Astin,f,NYT_ENG_20080327.0098.LDC2009T13_506_37-NYT_ENG_20080327.0098.LDC2009T13_506_6,128370
NYT_ENG_20070104.0091.LDC2009T13_121_26,NYT_ENG_20070104.0091.LDC2009T13_121_19,NYT_ENG_20070104.0091.LDC2009T13_121,Hillary Rodham Clinton-Chelsea Clinton,f,NYT_ENG_20070104.0091.LDC2009T13_121_26-NYT_ENG_20070104.0091.LDC2009T13_121_19,15897
eng-WL-11-174598-12964778_16460_40,eng-WL-11-174598-12964778_16460_21,eng-WL-11-174598-12964778_16460,Natalie Portman-Peggy Lipton,f,eng-WL-11-174598-12964778_16460_40-eng-WL-11-174598-12964778_16460_21,71318
97469@19_14,97469@19_2,97469@19,Daniel-Nicolas Sarkozy,f,97469@19_14-97469@19_2,232299
132638@36_6,132638@36_16,132638@36,McCain-McCain,f,132638@36_6-132638@36_16,113949
NYT_ENG_20080927.0046.LDC2009T13_1210_47,NYT_ENG_20080927.0046.LDC2009T13_1210_2,NYT_ENG_20080927.0046.LDC2009T13_1210,James Remar-Michael C. Hall,f,NYT_ENG_20080927.0046.LDC2009T13_1210_47-NYT_ENG_20080927.0046.LDC2009T13_1210_2,33328
NYT_ENG_20081023.0201.LDC2009T13_316_13,NYT_ENG_20081023.0201.LDC2009T13_316_33,NYT_ENG_20081023.0201.LDC2009T13_316,Jacob-Joseph,f,NYT_ENG_20081023.0201.LDC2009T13_316_13-NYT_ENG_20081023.0201.LDC2009T13_316_33,245819
133702@13_7,133702@13_12,133702@13,Haley Barbour-Charlie Crist,f,133702@13_7-133702@13_12,191057
APW_ENG_20080410.0168.LDC2009T13_219_64,APW_ENG_20080410.0168.LDC2009T13_219_0,APW_ENG_20080410.0168.LDC2009T13_219,Norman Mailer-Mailer,f,APW_ENG_20080410.0168.LDC2009T13_219_64-APW_ENG_20080410.0168.LDC2009T13_219_0,100799
122380@9_45,122380@9_42,122380@9,Arthur Ashe-Walter Payton,f,122380@9_45-122380@9_42,113450
NYT_ENG_20080313.0093.LDC2009T13_1326_9,NYT_ENG_20080313.0093.LDC2009T13_1326_12,NYT_ENG_20080313.0093.LDC2009T13_1326,Laura Linney-Abigail Adams,f,NYT_ENG_20080313.0093.LDC2009T13_1326_9-NYT_ENG_20080313.0093.LDC2009T13_1326_12,263344
eng-NG-31-142091-9996501_516_20,eng-NG-31-142091-9996501_516_29,eng-NG-31-142091-9996501_516,Paul McCartney-Yoko Ono,f,eng-NG-31-142091-9996501_516_20-eng-NG-31-142091-9996501_516_29,220569
119865@53_5,119865@53_22,119865@53,Hoffman-Hoffman,f,119865@53_5-119865@53_22,113947
APW_ENG_20080909.1283.LDC2009T13_89_15,APW_ENG_20080909.1283.LDC2009T13_89_0,APW_ENG_20080909.1283.LDC2009T13_89,Warith Deen Mohammed-Mohammed,f,APW_ENG_20080909.1283.LDC2009T13_89_15-APW_ENG_20080909.1283.LDC2009T13_89_0,85741
XIN_ENG_20080826.0140.LDC2009T13_12_34,XIN_ENG_20080826.0140.LDC2009T13_12_23,XIN_ENG_20080826.0140.LDC2009T13_12,Michael Sata-Maureen Mwanawasa,f,XIN_ENG_20080826.0140.LDC2009T13_12_34-XIN_ENG_20080826.0140.LDC2009T13_12_23,93127
eng-WL-110-174612-12992998_70_58,eng-WL-110-174612-12992998_70_22,eng-WL-110-174612-12992998_70,Toni Braxton-Alicia Keys,f,eng-WL-110-174612-12992998_70_58-eng-WL-110-174612-12992998_70_22,188816
NYT_ENG_20070628.0134.LDC2009T13_882_51,NYT_ENG_20070628.0134.LDC2009T13_882_37,NYT_ENG_20070628.0134.LDC2009T13_882,Eileen Atkins-Natasha Richardson,f,NYT_ENG_20070628.0134.LDC2009T13_882_51-NYT_ENG_20070628.0134.LDC2009T13_882_37,242085
eng-WL-110-174612-12993964_34_47,eng-WL-110-174612-12993964_34_71,eng-WL-110-174612-12993964_34,Timbaland-Angie Stone,f,eng-WL-110-174612-12993964_34_47-eng-WL-110-174612-12993964_34_71,217742
AFP_ENG_20081105.0061.LDC2009T13_88_25,AFP_ENG_20081105.0061.LDC2009T13_88_4,AFP_ENG_20081105.0061.LDC2009T13_88,Jennifer Aniston-David Arquette,f,AFP_ENG_20081105.0061.LDC2009T13_88_25-AFP_ENG_20081105.0061.LDC2009T13_88_4,219744
eng-NG-31-102460-10983987_18_44,eng-NG-31-102460-10983987_18_3,eng-NG-31-102460-10983987_18,Neil Patrick Harris-Cameron Diaz,f,eng-NG-31-102460-10983987_18_44-eng-NG-31-102460-10983987_18_3,219011
NYT_ENG_20070516.0109.LDC2009T13_577_25,NYT_ENG_20070516.0109.LDC2009T13_577_7,NYT_ENG_20070516.0109.LDC2009T13_577,John Cleese-Cameron Diaz,f,NYT_ENG_20070516.0109.LDC2009T13_577_25-NYT_ENG_20070516.0109.LDC2009T13_577_7,171187
APW_ENG_20070622.1311.LDC2009T13_822_4,APW_ENG_20070622.1311.LDC2009T13_822_13,APW_ENG_20070622.1311.LDC2009T13_822,Mitt Romney-Tagg Romney,f,APW_ENG_20070622.1311.LDC2009T13_822_4-APW_ENG_20070622.1311.LDC2009T13_822_13,235244
APW_ENG_20070413.1574.LDC2009T13_283_6,APW_ENG_20070413.1574.LDC2009T13_283_0,APW_ENG_20070413.1574.LDC2009T13_283,John Lennon-Julian Lennon,f,APW_ENG_20070413.1574.LDC2009T13_283_6-APW_ENG_20070413.1574.LDC2009T13_283_0,165837
