person1_id,person2_id,sentence_id,description,is_true,relation_id,id
NYT_ENG_20070928.0082.LDC2009T13_125_13,NYT_ENG_20070928.0082.LDC2009T13_125_7,NYT_ENG_20070928.0082.LDC2009T13_125,Robert F. Kennedy-Ethel Kennedy,t,NYT_ENG_20070928.0082.LDC2009T13_125_13-NYT_ENG_20070928.0082.LDC2009T13_125_7,113091
APW_ENG_20071205.0335.LDC2009T13_211_12,APW_ENG_20071205.0335.LDC2009T13_211_0,APW_ENG_20071205.0335.LDC2009T13_211,Steve Irwin-Terri Irwin,t,APW_ENG_20071205.0335.LDC2009T13_211_12-APW_ENG_20071205.0335.LDC2009T13_211_0,44484
eng-WL-11-174573-12960425_5348_14,eng-WL-11-174573-12960425_5348_27,eng-WL-11-174573-12960425_5348,Mary Shelley-Percy Bysshe Shelley,t,eng-WL-11-174573-12960425_5348_14-eng-WL-11-174573-12960425_5348_27,241110
NYT_ENG_20080712.0012.LDC2009T13_657_4,NYT_ENG_20080712.0012.LDC2009T13_657_13,NYT_ENG_20080712.0012.LDC2009T13_657,Anthony Horowitz-Jill Green,t,NYT_ENG_20080712.0012.LDC2009T13_657_4-NYT_ENG_20080712.0012.LDC2009T13_657_13,241454
APW_ENG_20071123.0069.LDC2009T13_220_9,APW_ENG_20071123.0069.LDC2009T13_220_3,APW_ENG_20071123.0069.LDC2009T13_220,Lisa Marie Presley-Nicolas Cage,t,APW_ENG_20071123.0069.LDC2009T13_220_9-APW_ENG_20071123.0069.LDC2009T13_220_3,279931
APW_ENG_20080519.0057.LDC2009T13_825_39,APW_ENG_20080519.0057.LDC2009T13_825_29,APW_ENG_20080519.0057.LDC2009T13_825,Hillary Rodham Clinton-Bill Clinton,t,APW_ENG_20080519.0057.LDC2009T13_825_39-APW_ENG_20080519.0057.LDC2009T13_825_29,84713
LTW_ENG_20080825.0033.LDC2009T13_450_17,LTW_ENG_20080825.0033.LDC2009T13_450_23,LTW_ENG_20080825.0033.LDC2009T13_450,Ethel Kennedy-Robert F. Kennedy,t,LTW_ENG_20080825.0033.LDC2009T13_450_17-LTW_ENG_20080825.0033.LDC2009T13_450_23,241120
NYT_ENG_20071023.0201.LDC2009T13_76_0,NYT_ENG_20071023.0201.LDC2009T13_76_8,NYT_ENG_20071023.0201.LDC2009T13_76,Elizabeth Edwards-John Edwards,t,NYT_ENG_20071023.0201.LDC2009T13_76_0-NYT_ENG_20071023.0201.LDC2009T13_76_8,130195
eng-WL-11-174595-12967597_951_3,eng-WL-11-174595-12967597_951_0,eng-WL-11-174595-12967597_951,Katie Holmes-Tom Cruise,t,eng-WL-11-174595-12967597_951_3-eng-WL-11-174595-12967597_951_0,48232
eng-WL-11-174595-12968145_771_3,eng-WL-11-174595-12968145_771_0,eng-WL-11-174595-12968145_771,Joel Madden-Nicole Richie,t,eng-WL-11-174595-12968145_771_3-eng-WL-11-174595-12968145_771_0,162230
APW_ENG_20080726.0033.LDC2009T13_501_41,APW_ENG_20080726.0033.LDC2009T13_501_38,APW_ENG_20080726.0033.LDC2009T13_501,Angelina Jolie-Brad Pitt,t,APW_ENG_20080726.0033.LDC2009T13_501_41-APW_ENG_20080726.0033.LDC2009T13_501_38,27995
NYT_ENG_20080130.0109.LDC2009T13_543_4,NYT_ENG_20080130.0109.LDC2009T13_543_1,NYT_ENG_20080130.0109.LDC2009T13_543,Celia W. Dugger-Barry Bearak,t,NYT_ENG_20080130.0109.LDC2009T13_543_4-NYT_ENG_20080130.0109.LDC2009T13_543_1,112396
AFP_ENG_20070827.0098.LDC2009T13_373_17,AFP_ENG_20070827.0098.LDC2009T13_373_9,AFP_ENG_20070827.0098.LDC2009T13_373,Mitt Romney-Ann Romney,t,AFP_ENG_20070827.0098.LDC2009T13_373_17-AFP_ENG_20070827.0098.LDC2009T13_373_9,61970
eng-WL-11-174595-12968387_326_5,eng-WL-11-174595-12968387_326_19,eng-WL-11-174595-12968387_326,Heidi Montag-Spencer Pratt,t,eng-WL-11-174595-12968387_326_5-eng-WL-11-174595-12968387_326_19,132547
eng-WL-11-174575-12944262_1084_20,eng-WL-11-174575-12944262_1084_6,eng-WL-11-174575-12944262_1084,Leah-Jacob,t,eng-WL-11-174575-12944262_1084_20-eng-WL-11-174575-12944262_1084_6,12029
