relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
eng-WL-11-174643-12999752_83_0-eng-WL-11-174643-12999752_83_4,eng-WL-11-174643-12999752_83,Tom Selleck-Jillie Mack,t,0.906,"{Tom,Selleck,and,wife,Jillie,Mack,at,the,1989,Academy,Awards,picture,-LRB-,c,-RRB-,photo,by,Alan,Light,Tom,Selleck,is,American,actor,"","",script,writer,and,the,producer,probably,most,known,for,its,leading,role,as,private,detective,Thomas,Megnum,being,in,Hawaii,on,the,Wine,large,bottle,of,teleshow,"","",Magnum,"","",P.I.,.}",0,2,4,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""POS_SEQ_[CC NN]"",""NER_SEQ_[O O]"",""BETW_D_[dep . dep]""}","{1.45266,-1.31464,1.00097,0.812338,0.481143,-0.320318}"
XIN_ENG_20070917.0345.LDC2009T13_152_25-XIN_ENG_20070917.0345.LDC2009T13_152_16,XIN_ENG_20070917.0345.LDC2009T13_152,Ehud Olmert-Aliza Olmert,t,0.956,"{The,exhibition,involved,prominent,Israeli,and,Palestinian,painters,"","",sculptors,"","",designers,and,photographers,"","",including,Aliza,Olmert,"","",the,wife,of,Israeli,Prime,Minister,Ehud,Olmert,.}",25,2,16,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_2],""INV_BETW_D_[prep_of DICT_married appos]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED}","{1.40876,1.0991,0.850398,-0.763446,-0.66542,-0.651428}"
AFP_ENG_20070720.0248.LDC2009T13_79_28-AFP_ENG_20070720.0248.LDC2009T13_79_35,AFP_ENG_20070720.0248.LDC2009T13_79,Sherry Lansing-Billy Friedkin,,0.908,"{The,Los,Angeles,Times,reported,that,celebrities,whose,homes,have,been,raided,included,country,music,stars,Tim,McGraw,and,Faith,Hill,as,well,as,former,Paramount,Pictures,chief,Sherry,Lansing,and,her,Oscar-winning,director,husband,Billy,Friedkin,.}",28,2,35,2,2,"{NGRAM_1_[husband],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],NGRAM_1_[she],NGRAM_1_[and],""POS_SEQ_[CC PRP$ JJ NN NN]""}","{1.38993,-1.31464,1.00097,0.686583,-0.221701,0.18347}"
70362@35_6-70362@35_1,70362@35,Kelly Ripa-Mark Consuelos,t,0.93,"{Actor,Mark,Consuelos,"","",husband,of,Kelly,Ripa,and,one,of,USF,'s,most,famous,alums,"","",is,scheduled,to,attend,the,football,game,Thursday,at,Rutgers,.}",6,2,1,2,2,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_2],""INV_BETW_D_[prep_of DICT_married appos]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED}","{1.33699,1.0991,0.850398,-0.763446,-0.66542,-0.651428}"
AFP_ENG_20070317.0247.LDC2009T13_9_28-AFP_ENG_20070317.0247.LDC2009T13_9_11,AFP_ENG_20070317.0247.LDC2009T13_9,Brian Lynch-Roland Garros,,0.908,"{Former,US,Open,champion,Kim,Clijsters,said,Saturday,she,will,skip,Roland,Garros,this,year,to,enable,her,to,prepare,for,her,upcoming,marriage,with,American,basketball,player,Brian,Lynch,.}",28,2,11,2,2,"{INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[she],IS_INVERTED,INV_NGRAM_1_[marriage],INV_NGRAM_1_[with]}","{1.0991,-0.763446,0.658011,-0.651428,0.507923,0.415228}"
AFP_ENG_20070919.0854.LDC2009T13_9_3-AFP_ENG_20070919.0854.LDC2009T13_9_31,AFP_ENG_20070919.0854.LDC2009T13_9,Britney Spears-Kevin Federline,t,0.988,"{The,judge,in,Britney,Spears,',custody,case,has,ordered,the,troubled,pop,singer,to,undergo,random,drug,testing,in,the,latest,twist,to,her,increasingly,bitter,legal,battle,with,ex-husband,Kevin,Federline,"","",court,documents,showed,Tuesday,.}",3,2,31,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_3],NGRAM_1_[ex-husband],NGRAM_1_[she],NGRAM_1_[custody],NGRAM_1_[with]}","{-1.31464,0.973073,0.892243,0.686583,0.369509,0.333158}"
AFP_ENG_20070919.0852.LDC2009T13_9_30-AFP_ENG_20070919.0852.LDC2009T13_9_3,AFP_ENG_20070919.0852.LDC2009T13_9,Kevin Federline-Britney Spears,t,0.97,"{The,judge,in,Britney,Spears,',custody,case,has,ordered,the,troubled,singer,to,undergo,random,drug,testing,in,the,latest,twist,to,her,increasingly,bitter,legal,battle,with,ex-husband,Kevin,Federline,"","",court,documents,showed,Tuesday,.}",30,2,3,2,2,"{INV_NGRAM_1_[ex-husband],INV_LENGTHS_[3_2],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[she],IS_INVERTED,INV_NGRAM_1_[with]}","{0.976163,0.92871,-0.763446,0.658011,-0.651428,0.415228}"
AFP_ENG_20080311.0500.LDC2009T13_76_16-AFP_ENG_20080311.0500.LDC2009T13_76_6,AFP_ENG_20080311.0500.LDC2009T13_76,Benazir Bhutto-Asif Ali Zardari,t,0.94,"{The,announcement,comes,two,days,after,Asif,Ali,Zardari,"","",widower,of,slain,ex,-,premier,Benazir,Bhutto,"","",and,former,prime,minister,Nawaz,Sharif,signed,a,coalition,pact,in,the,wake,of,the,February,18,general,election,.}",16,2,6,3,3,"{INV_LENGTHS_[2_3],INV_NGRAM_1_[widower],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED,""INV_NGRAM_2_[widower of]""}","{1.08611,0.849673,-0.763446,-0.66542,-0.651428,0.605642}"
AFP_ENG_20080301.0128.LDC2009T13_87_27-AFP_ENG_20080301.0128.LDC2009T13_87_17,AFP_ENG_20080301.0128.LDC2009T13_87,Paul McCartney-Heather Mills,t,0.96,"{But,a,minority,of,the,traveling,support,was,not,so,sympathetic,"","",comparing,the,player,to,amputee,Heather,Mills,"","",the,estranged,wife,of,pop,legend,Sir,Paul,McCartney,.}",27,2,17,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_2],""INV_BETW_D_[prep_of DICT_married appos]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED}","{1.40876,1.0991,0.850398,-0.763446,-0.66542,-0.651428}"
AFP_ENG_20070919.0852.LDC2009T13_9_3-AFP_ENG_20070919.0852.LDC2009T13_9_30,AFP_ENG_20070919.0852.LDC2009T13_9,Britney Spears-Kevin Federline,t,0.968,"{The,judge,in,Britney,Spears,',custody,case,has,ordered,the,troubled,singer,to,undergo,random,drug,testing,in,the,latest,twist,to,her,increasingly,bitter,legal,battle,with,ex-husband,Kevin,Federline,"","",court,documents,showed,Tuesday,.}",3,2,30,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_3],NGRAM_1_[ex-husband],NGRAM_1_[she],NGRAM_1_[custody],NGRAM_1_[with]}","{-1.31464,0.973073,0.892243,0.686583,0.369509,0.333158}"
71991@1_0-71991@1_8,71991@1,Ann Romney-Mitt Romney,t,0.984,"{Ann,Romney,"","",wife,of,former,Massachusetts,Gov.,Mitt,Romney,"","",devoted,part,of,her,remarks,to,the,annual,women,'s,conference,hosted,by,California,Gov.,Arnold,Schwarzenegger,and,his,wife,"","",Maria,Shriver,"","",in,Long,Beach,"","",Calif.,"","",to,lavishly,praise,the,face-to-face,process,of,wooing,voters,in,Iowa,and,New,Hampshire,"","",two,small,"","",early,contest,states,where,polls,show,her,husband,leading,the,field,of,candidates,for,the,2008,Republican,presidential,nomination,.}",0,2,8,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_1_[,]"",""NGRAM_2_[wife of]""}","{1.45266,-1.31464,1.00097,0.819902,-0.736788,0.621528}"
