doc_id,id,mid1,mid2,word1,word2,type1,type2,feature,bit
AFP_ENG_20070911.0245.LDC2009T13,1801778957,AFP_ENG_20070911.0245.LDC2009T13_544_556,AFP_ENG_20070911.0245.LDC2009T13_522_532,ryan crocker,ambassador,PERSON,TITLE,SEQ_INV_WIN_NER_L_1_R_3_%|%LOCATION%|%O@|@O@|@O,262143
eng-NG-31-143446-10242382,972015687,eng-NG-31-143446-10242382_1252_1263,eng-NG-31-143446-10242382_1476_1489,us congress,golan heights,ORGANIZATION,LOCATION,IND_STARTS_WITH_CAPITAL_%|%True%|%True,262143
NYT_ENG_20070727.0186.LDC2009T13,535704142,NYT_ENG_20070727.0186.LDC2009T13_2393_2397,NYT_ENG_20070727.0186.LDC2009T13_2353_2358,raul,fidel,PERSON,PERSON,SEQ_INV_WIN_LEMMA_L_3_R_1_%|%~!perspiration@|@~!.@|@~!if%|%~!supply,262143
eng-WL-11-174592-12943167,835212189,eng-WL-11-174592-12943167_802_807,eng-WL-11-174592-12943167_991_995,lewis,tier,PERSON,TITLE,SEQ_NGRAM_1_%|%~!buddy,262143
NYT_ENG_20070328.0065.LDC2009T13,1812786593,NYT_ENG_20070328.0065.LDC2009T13_7229_7236,NYT_ENG_20070328.0065.LDC2009T13_7347_7354,harvard,amherst,ORGANIZATION,CITY,SEQ_NGRAM_1_%|%~!head,262143
LTW_ENG_20070828.0107.LDC2009T13,1544202823,LTW_ENG_20070828.0107.LDC2009T13_2389_2399,LTW_ENG_20070828.0107.LDC2009T13_2252_2257,luis fonsi,perez,PERSON,PERSON,SEQ_INV_NGRAM_3_%|%~!Cristian@|@~!Castro@|@~!'s,262143
APW_ENG_20070215.0180.LDC2009T13,2121150042,APW_ENG_20070215.0180.LDC2009T13_598_615,APW_ENG_20070215.0180.LDC2009T13_758_770,mark fainaru-wada,jason giambi,PERSON,PERSON,DEP_BETW_%|%nsubj@|@~!view@|@dobj@|@~!transcript@|@prep_of@|@~!testimony@|@prep_of@|@~!Bonds@|@conj_and,262143
NYT_ENG_20070808.0133.LDC2009T13,1374827366,NYT_ENG_20070808.0133.LDC2009T13_4153_4156,NYT_ENG_20070808.0133.LDC2009T13_4100_4106,amc,weiner,ORGANIZATION,PERSON,SEQ_INV_NGRAM_1_%|%~!``,262143
NYT_ENG_20070220.0186.LDC2009T13,827001116,NYT_ENG_20070220.0186.LDC2009T13_5092_5105,NYT_ENG_20070220.0186.LDC2009T13_5319_5332,arlen specter,supreme court,PERSON,ORGANIZATION,SEQ_NGRAM_2_%|%~!in@|@~!the,262143
XIN_ENG_20071115.0188.LDC2009T13,1527179999,XIN_ENG_20071115.0188.LDC2009T13_1440_1492,XIN_ENG_20071115.0188.LDC2009T13_1534_1537,standing committee of the national people 's congress,cpc,ORGANIZATION,ORGANIZATION,"SEQ_NGRAM_2_%|%~!,@|@~!China",262143
eng-WL-110-174612-12991424,969619186,eng-WL-110-174612-12991424_734_746,eng-WL-110-174612-12991424_775_787,darren lewis,angela hunte,PERSON,PERSON,SEQ_WIN_LEMMA_L_2_R_1_%|%~!Babalola@|@~!&%|%~!-lrb-,262143
AFP_ENG_20071116.0036.LDC2009T13,1733207244,AFP_ENG_20071116.0036.LDC2009T13_300_311,AFP_ENG_20071116.0036.LDC2009T13_370_375,juan carlos,chile,PERSON,COUNTRY,SEQ_NGRAM_2_%|%~!to@|@~!``,262143
eng-WL-110-174612-12992170,1965354568,eng-WL-110-174612-12992170_1407_1421,eng-WL-110-174612-12992170_1237_1248,jennifer lopez,christopher,PERSON,PERSON,"SEQ_INV_NGRAM_3_%|%~!Murrell@|@~!,@|@~!Celine",262143
NYT_ENG_20070406.0114.LDC2009T13,859397531,NYT_ENG_20070406.0114.LDC2009T13_1250_1264,NYT_ENG_20070406.0114.LDC2009T13_1192_1198,jackson hewitt,monday,PERSON,DATE,SEQ_INV_WIN_LEMMA_L_1_R_2_%|%~!on%|%~!franchise@|@~!in,262143
APW_ENG_20070124.0836.LDC2009T13,541889978,APW_ENG_20070124.0836.LDC2009T13_495_501,APW_ENG_20070124.0836.LDC2009T13_561_568,neeson,jan. 11,PERSON,DATE,SEQ_NER_%|%O@|@O@|@O@|@O@|@O@|@O@|@MISC@|@O@|@O@|@O,262143
AFP_ENG_20080307.0148.LDC2009T13,537371897,AFP_ENG_20080307.0148.LDC2009T13_3441_3450,AFP_ENG_20080307.0148.LDC2009T13_3560_3563,ivan rios,250,PERSON,NUMBER,"SEQ_NGRAM_2_%|%~!,@|@~!be",262143
APW_ENG_20080415.0869.LDC2009T13,1358542975,APW_ENG_20080415.0869.LDC2009T13_1757_1771,APW_ENG_20080415.0869.LDC2009T13_1660_1664,kenny williams,2007,PERSON,DATE,SEQ_INV_NGRAM_3_%|%~!and@|@~!Lapchick@|@~!note,262143
NYT_ENG_20070727.0186.LDC2009T13,1636341443,NYT_ENG_20070727.0186.LDC2009T13_5092_5096,NYT_ENG_20070727.0186.LDC2009T13_5149_5155,raul,angola,PERSON,COUNTRY,SEQ_WIN_LEMMA_L_3_R_1_%|%~!the@|@~!_NUMBER@|@~!.%|%~!and,262143
NYT_ENG_20081031.0087.LDC2009T13,1769747588,NYT_ENG_20081031.0087.LDC2009T13_2441_2451,NYT_ENG_20081031.0087.LDC2009T13_2251_2255,democratic,1998,ORGANIZATION,DATE,"SEQ_INV_NGRAM_2_%|%~!,@|@~!both",262143
APW_ENG_20070818.0184.LDC2009T13,1838999808,APW_ENG_20070818.0184.LDC2009T13_887_893,APW_ENG_20070818.0184.LDC2009T13_903_913,acerra,a few days,PERSON,DURATION,SEQ_LEMMA_%|%~!resign,262143
NYT_ENG_20071001.0094.LDC2009T13,982545592,NYT_ENG_20071001.0094.LDC2009T13_3587_3602,NYT_ENG_20071001.0094.LDC2009T13_3656_3670,american motors,general motors,ORGANIZATION,ORGANIZATION,SEQ_WIN_NER_L_2_R_3_%|%O@|@O%|%O@|@ORGANIZATION@|@O,262143
XIN_ENG_20080224.0194.LDC2009T13,655007280,XIN_ENG_20080224.0194.LDC2009T13_1097_1113,XIN_ENG_20080224.0194.LDC2009T13_1127_1156,maria ester reus,national electoral commission,PERSON,ORGANIZATION,SEQ_WIN_NER_L_2_R_1_%|%O@|@O%|%O,262143
CNA_ENG_20080130.0029.LDC2009T13,1411100982,CNA_ENG_20080130.0029.LDC2009T13_807_811,CNA_ENG_20080130.0029.LDC2009T13_735_748,veco,pham manh hai,ORGANIZATION,PERSON,SEQ_INV_NGRAM_3_%|%~!of@|@~!the@|@~!Vietnam,262143
NYT_ENG_20081218.0193.LDC2009T13,1792443800,NYT_ENG_20081218.0193.LDC2009T13_4772_4791,NYT_ENG_20081218.0193.LDC2009T13_4908_4918,michael j. sullivan,cognos ulc,PERSON,ORGANIZATION,SEQ_NGRAM_2_%|%~!contract@|@~!to,262143
NYT_ENG_20071115.0202.LDC2009T13,757636099,NYT_ENG_20071115.0202.LDC2009T13_2271_2276,NYT_ENG_20071115.0202.LDC2009T13_2280_2287,delta,atlanta,ORGANIZATION,CITY,SEQ_WIN_NER_L_1_R_1_%|%O%|%O,262143
CNA_ENG_20070208.0024.LDC2009T13,2092066548,CNA_ENG_20070208.0024.LDC2009T13_657_692,CNA_ENG_20070208.0024.LDC2009T13_852_855,taipei economic and cultural office,two,ORGANIZATION,NUMBER,DEP_BETW_L_%|%dep@|@dep,262143
