doc_id,id,mid1,mid2,word1,word2,rel,is_correct,category,expectation
eng-WL-110-174612-12997235,173169,eng-WL-110-174612-12997235_660_696,eng-WL-110-174612-12997235_613_625,sam watters & louis biancaniello,teedra moses,org:founded_by,,1,0.938
APW_ENG_20071121.0250.LDC2009T13,56974,APW_ENG_20071121.0250.LDC2009T13_3566_3578,APW_ENG_20071121.0250.LDC2009T13_3580_3586,earl maucker,editor,per:title,,1,0.956
eng-WL-11-174595-12967955,250748,eng-WL-11-174595-12967955_446_461,eng-WL-11-174595-12967955_427_441,kevin federline,britney spears,per:spouse,,1,0.992
APW_ENG_20071116.0402.LDC2009T13,235513,APW_ENG_20071116.0402.LDC2009T13_4877_4893,APW_ENG_20071116.0402.LDC2009T13_4962_4965,samsung everland,lee,org:founded_by,,1,0.976
AFP_ENG_20080402.0552.LDC2009T13,93513,AFP_ENG_20080402.0552.LDC2009T13_1954_1961,AFP_ENG_20080402.0552.LDC2009T13_1854_1858,samsung,hyun,org:founded_by,,1,0.988
eng-WL-11-174595-12968344,179393,eng-WL-11-174595-12968344_14792_14799,eng-WL-11-174595-12968344_14884_14888,michael,mike,per:spouse,,1,0.956
CNA_ENG_20081201.0035.LDC2009T13,144114,CNA_ENG_20081201.0035.LDC2009T13_4610_4614,CNA_ENG_20081201.0035.LDC2009T13_4435_4447,meco,donald trump,org:founded_by,,1,0.992
eng-NG-31-142507-10059234,312456,eng-NG-31-142507-10059234_2377_2408,eng-NG-31-142507-10059234_2676_2685,"cosgrove , eisenberg & kiley",jack cole,org:founded_by,,1,0.934
LTW_ENG_20080916.0085.LDC2009T13,97415,LTW_ENG_20080916.0085.LDC2009T13_848_857,LTW_ENG_20080916.0085.LDC2009T13_818_832,metrolink,denise tyrrell,org:founded_by,,1,0.952
eng-WL-11-174595-12968208,128261,eng-WL-11-174595-12968208_13634_13643,eng-WL-11-174595-12968208_13648_13660,lisa agar,ana ferreira,per:spouse,,1,0.966
APW_ENG_20071214.0492.LDC2009T13,76182,APW_ENG_20071214.0492.LDC2009T13_3094_3123,APW_ENG_20071214.0492.LDC2009T13_3068_3080,pennsylvania state university,michael mann,org:founded_by,,1,0.966
NYT_ENG_20071212.0006.LDC2009T13,189634,NYT_ENG_20071212.0006.LDC2009T13_1780_1789,NYT_ENG_20071212.0006.LDC2009T13_1739_1751,red cross,clara barton,org:founded_by,,1,0.998
AFP_ENG_20070506.0094.LDC2009T13,234569,AFP_ENG_20070506.0094.LDC2009T13_1328_1338,AFP_ENG_20070506.0094.LDC2009T13_1277_1287,moussavian,prosecutor,per:title,,1,0.946
eng-WL-11-174643-13000346,997,eng-WL-11-174643-13000346_2328_2334,eng-WL-11-174643-13000346_2339_2347,spears,aldridge,per:spouse,,1,0.996
AFP_ENG_20080922.0475.LDC2009T13,260572,AFP_ENG_20080922.0475.LDC2009T13_742_758,AFP_ENG_20080922.0475.LDC2009T13_732_741,asif ali zardari,president,per:title,t,1,0.99
APW_ENG_20081009.0023.LDC2009T13,127659,APW_ENG_20081009.0023.LDC2009T13_1228_1237,APW_ENG_20081009.0023.LDC2009T13_1242_1251,wilkinson,marquardt,per:spouse,,1,0.98
AFP_ENG_20080801.0597.LDC2009T13,269021,AFP_ENG_20080801.0597.LDC2009T13_172_183,AFP_ENG_20080801.0597.LDC2009T13_165_170,raul castro,fidel,per:siblings,,1,0.93
NYT_ENG_20081218.0193.LDC2009T13,136268,NYT_ENG_20081218.0193.LDC2009T13_7188_7203,NYT_ENG_20081218.0193.LDC2009T13_7158_7178,robert a. deleo,house ways and means,per:employee_or_member_of,,1,0.908
eng-WL-11-174595-12968465,324875,eng-WL-11-174595-12968465_16214_16222,eng-WL-11-174595-12968465_16253_16260,aguilera,bratman,per:spouse,,1,0.95
APW_ENG_20080523.0181.LDC2009T13,249242,APW_ENG_20080523.0181.LDC2009T13_2423_2428,APW_ENG_20080523.0181.LDC2009T13_2378_2384,hagee,mccain,per:spouse,,1,0.924
eng-WL-11-174594-12961460,159035,eng-WL-11-174594-12961460_1586_1637,eng-WL-11-174594-12961460_1688_1705,pregnant jamie lynn spears wedding drama & baby,jamie lynn spears,org:founded_by,,1,0.952
eng-WL-11-174572-12947337,256913,eng-WL-11-174572-12947337_1030_1040,eng-WL-11-174572-12947337_1007_1024,mtv canada,jessi cruickshank,org:founded_by,,1,0.966
AFP_ENG_20080401.0681.LDC2009T13,21998,AFP_ENG_20080401.0681.LDC2009T13_916_924,AFP_ENG_20080401.0681.LDC2009T13_839_847,waratahs,mckenzie,org:founded_by,,1,0.966
eng-WL-11-174595-12968465,323974,eng-WL-11-174595-12968465_12515_12519,eng-WL-11-174595-12968465_12475_12489,xoxo,chace crawford,org:founded_by,,1,0.962
eng-WL-11-174608-12979911,99319,eng-WL-11-174608-12979911_60791_60796,eng-WL-11-174608-12979911_60769_60776,obama,clinton,per:spouse,,1,0.918
NYT_ENG_20070303.0087.LDC2009T13,72252,NYT_ENG_20070303.0087.LDC2009T13_5076_5101,NYT_ENG_20070303.0087.LDC2009T13_5046_5057,black coaches association,floyd keith,org:founded_by,,1,0.994
LTW_ENG_20080513.0059.LDC2009T13,188824,LTW_ENG_20080513.0059.LDC2009T13_4552_4557,LTW_ENG_20080513.0059.LDC2009T13_4542_4547,kelly,regis,per:spouse,,1,0.92
APW_ENG_20081208.0368.LDC2009T13,287094,APW_ENG_20081208.0368.LDC2009T13_1932_1944,APW_ENG_20081208.0368.LDC2009T13_1915_1930,rick wagoner,chief executive,per:title,,1,0.97
AFP_ENG_20070608.0105.LDC2009T13,51119,AFP_ENG_20070608.0105.LDC2009T13_2008_2041,AFP_ENG_20070608.0105.LDC2009T13_1981_1987,century regional detention center,hilton,org:founded_by,,1,0.914
eng-WL-11-174596-12954975,8336,eng-WL-11-174596-12954975_842_857,eng-WL-11-174596-12954975_859_868,syed soharwardy,president,per:title,,1,0.942
LTW_ENG_20071022.0033.LDC2009T13,92380,LTW_ENG_20071022.0033.LDC2009T13_258_270,LTW_ENG_20071022.0033.LDC2009T13_306_316,ali larijani,negotiator,per:title,,1,0.964
