relation_id,feature
60823@33_12-60823@33_51,NGRAM_2_[Roberts -lrb-]
eng-WL-11-174577-12937397_96_4-eng-WL-11-174577-12937397_96_24,NGRAM_2_[be spend]
NYT_ENG_20081217.0061.LDC2009T13_625_5-NYT_ENG_20081217.0061.LDC2009T13_625_21,"NGRAM_3_[, Anil Kapoor]"
LTW_ENG_20070320.0069.LDC2009T13_871_30-LTW_ENG_20070320.0069.LDC2009T13_871_27,"INV_W_LEMMA_L_3_R_2_[York Times correspondent]_[, previously]"
NYT_ENG_20070930.0122.LDC2009T13_1285_28-NYT_ENG_20070930.0122.LDC2009T13_1285_22,"INV_NGRAM_2_[, Esther]"
APW_ENG_20070720.0117.LDC2009T13_267_15-APW_ENG_20070720.0117.LDC2009T13_267_5,INV_LENGTHS_[0_2]
85861@16_27-85861@16_2,INV_NGRAM_1_[say]
98795@45_3-98795@45_1,INV_LEMMA_SEQ_[and]
APW_ENG_20080206.1594.LDC2009T13_248_29-APW_ENG_20080206.1594.LDC2009T13_248_62,NGRAM_1_[Luis]
90491@18_4-90491@18_22,W_NER_L_2_R_3_[LOCATION O]_[O PERSON O]
60823@7_14-60823@7_41,NER_SEQ_[O O TIME O LOCATION O O O O O DATE O O O DATE O O O O O O O O O O]
eng-NG-31-107915-11999015_46_51-eng-NG-31-107915-11999015_46_23,"INV_NGRAM_3_[Jr. , Davy]"
eng-WL-110-174612-12991355_95_40-eng-WL-110-174612-12991355_95_0,INV_W_NER_L_2_R_1_[O O]_[O]
APW_ENG_20071211.1254.LDC2009T13_522_31-APW_ENG_20071211.1254.LDC2009T13_522_12,"INV_WORD_SEQ_[, `` No Country for Old Men '' ; Tony Gilroy , `` Michael Clayton '' ;]"
APW_ENG_20070415.0442.LDC2009T13_206_26-APW_ENG_20070415.0442.LDC2009T13_206_29,NER_SEQ_[O]
APW_ENG_20070228.0542.LDC2009T13_106_2-APW_ENG_20070228.0542.LDC2009T13_106_8,KW_L_[conj_and]_[conj_and conj_and]
eng-WL-11-174587-12962780_11_29-eng-WL-11-174587-12962780_11_0,INV_NGRAM_1_['']
AFP_ENG_20080916.0499.LDC2009T13_296_33-AFP_ENG_20080916.0499.LDC2009T13_296_27,"INV_W_LEMMA_L_2_R_1_[Evans ,]_[,]"
NYT_ENG_20071004.0290.LDC2009T13_31_2-NYT_ENG_20071004.0290.LDC2009T13_31_45,NGRAM_3_[it provide local]
APW_ENG_20081014.1290.LDC2009T13_165_34-APW_ENG_20081014.1290.LDC2009T13_165_22,INV_NGRAM_3_[duo or group]
135683@30_5-135683@30_23,NGRAM_1_[Feldheimer]
eng-WL-110-174612-12993478_97_22-eng-WL-110-174612-12993478_97_46,NGRAM_2_[& Terry]
AFP_ENG_20070902.5006.LDC2009T13_178_24-AFP_ENG_20070902.5006.LDC2009T13_178_12,"INV_W_LEMMA_L_1_R_3_[,]_[, Virender Sehwag]"
APW_ENG_20080213.0279.LDC2009T13_21_96-APW_ENG_20080213.0279.LDC2009T13_21_18,INV_NGRAM_1_[Lealiifano]
114775@26_36-114775@26_26,"INV_NGRAM_3_[, a little]"
eng-WL-110-174612-12990690_47_11-eng-WL-110-174612-12990690_47_17,"W_LEMMA_L_3_R_3_[Christina Aguilera ,]_[`` Swizz Beatz]"
eng-WL-11-174588-12938541_14890_6-eng-WL-11-174588-12938541_14890_42,W_LEMMA_L_3_R_1_[Jay z and]_[...]
53484@25_48-53484@25_6,INV_NGRAM_3_[a paranoid and]
NYT_ENG_20070515.0112.LDC2009T13_312_30-NYT_ENG_20070515.0112.LDC2009T13_312_16,INV_W_NER_L_1_R_2_[O]_[O PERSON]
eng-WL-11-174611-12980047_76_78-eng-WL-11-174611-12980047_76_7,INV_NGRAM_1_[Jamie]
NYT_ENG_20080711.0058.LDC2009T13_269_0-NYT_ENG_20080711.0058.LDC2009T13_269_32,"WORD_SEQ_[, administrator of the estate of Coretta Scott , and Martin Luther King III filed a lawsuit Thursday in Fulton County Superior Court against Dexter King and the estate of]"
93477@17_6-93477@17_39,NGRAM_1_[of]
NYT_ENG_20080411.0057.LDC2009T13_57_3-NYT_ENG_20080411.0057.LDC2009T13_57_0,INV_W_NER_L_1_R_2_[O]_[O O]
eng-NG-31-142893-10116373_581_37-eng-NG-31-142893-10116373_581_21,INV_NGRAM_1_[Israel]
APW_ENG_20081225.0257.LDC2009T13_807_6-APW_ENG_20081225.0257.LDC2009T13_807_15,W_NER_L_1_R_1_[O]_[O]
18789@39_2-18789@39_23,NGRAM_3_[Observer from shuttle]
AFP_ENG_20080711.0275.LDC2009T13_13_4-AFP_ENG_20080711.0275.LDC2009T13_13_26,NGRAM_2_[be ``]
AFP_ENG_20081108.0228.LDC2009T13_86_36-AFP_ENG_20081108.0228.LDC2009T13_86_21,"INV_NGRAM_3_[-rrb- , Mauro]"
APW_ENG_20081119.0350.LDC2009T13_1008_16-APW_ENG_20081119.0350.LDC2009T13_1008_50,NGRAM_1_[they]
AFP_ENG_20081120.0366.LDC2009T13_282_6-AFP_ENG_20081120.0366.LDC2009T13_282_21,"W_LEMMA_L_3_R_3_[Kaine Robertson ,]_[-lrb- capt -rrb-]"
136654@85_28-136654@85_8,"INV_W_LEMMA_L_3_R_2_[campaign trail ,]_[, the]"
eng-WL-110-174612-12993899_277_25-eng-WL-110-174612-12993899_277_58,LENGTHS_[2_2]
