weight	pos_examples	neg_examples	queries	description
-1.48034	128	4043	12616	f_has_spouse_features-INV_NGRAM_1_[;]
-1.44639	128	4043	12616	f_has_spouse_features-NGRAM_1_[;]
-1.31464	11741	39571	91170	f_has_spouse_features-STARTS_WITH_CAPITAL_[True_True]
-1.15326	6	488	1213	f_has_spouse_features-LENGTHS_[2_0]
-1.1493	177	2749	7863	f_has_spouse_features-LENGTHS_[1_1]
-1.1459	0	417	415	f_has_spouse_features-LENGTHS_[0_0]
-1.10292	177	2749	7863	f_has_spouse_features-INV_LENGTHS_[1_1]
-1.08472	6	488	1213	f_has_spouse_features-INV_LENGTHS_[0_2]
-1.07205	1115	7397	12899	f_has_spouse_features-KW_IND_[non_married]
-1.05898	1115	7397	12899	f_has_spouse_features-INV_KW_IND_[non_married]
-1.05074	0	417	415	f_has_spouse_features-INV_LENGTHS_[0_0]
-0.996146	21	429	1253	f_has_spouse_features-INV_LENGTHS_[2_0]
-0.956632	21	429	1253	f_has_spouse_features-LENGTHS_[0_2]
-0.91754	31	402	1356	f_has_spouse_features-LENGTHS_[1_0]
-0.872115	31	402	1356	f_has_spouse_features-INV_LENGTHS_[0_1]
-0.843004	14	409	1465	f_has_spouse_features-LENGTHS_[0_1]
-0.838064	14	409	1465	f_has_spouse_features-INV_LENGTHS_[1_0]
-0.800605	1	487	230	f_has_spouse_features-INV_BETW_D_[prep_of DICT_non_married appos]
-0.772781	1	487	230	f_has_spouse_features-BETW_D_[appos DICT_non_married prep_of]
-0.763446	11741	39571	91170	f_has_spouse_features-INV_STARTS_WITH_CAPITAL_[True_True]
-0.761485	1	751	1089	f_has_spouse_features-INV_NGRAM_2_[son of]
-0.736788	5283	31850	75399	f_has_spouse_features-NGRAM_1_[,]
-0.732007	72	1371	2286	f_has_spouse_features-INV_NGRAM_1_[son]
-0.714003	1	751	1089	f_has_spouse_features-NGRAM_2_[son of]
-0.713272	72	1371	2286	f_has_spouse_features-NGRAM_1_[son]
-0.703494	0	73	44	f_has_spouse_features-INV_BETW_D_[poss DICT_non_married appos]
-0.702387	0	73	44	f_has_spouse_features-BETW_D_[appos DICT_non_married poss]
-0.66542	5283	31850	75399	f_has_spouse_features-INV_NGRAM_1_[,]
-0.660477	67	722	808	f_has_spouse_features-INV_NGRAM_1_[father]
-0.651428	11785	39602	91283	f_has_spouse_features-IS_INVERTED
-0.648165	166	1248	2791	f_has_spouse_features-W_LEMMA_L_1_R_1_[,]_[.]
-0.627944	67	722	808	f_has_spouse_features-NGRAM_1_[father]
-0.586251	75	1659	4531	f_has_spouse_features-BETW_L_[appos appos]
-0.574416	0	133	395	f_has_spouse_features-LENGTHS_[4_1]
-0.56778	25	592	1186	f_has_spouse_features-NGRAM_1_[brother]
-0.56623	0	129	523	f_has_spouse_features-INV_LENGTHS_[3_0]
-0.562977	30	408	752	f_has_spouse_features-NGRAM_1_[sister]
-0.55671	75	1659	4531	f_has_spouse_features-INV_BETW_L_[appos appos]
-0.554291	920	11826	30481	f_has_spouse_features-W_NER_L_3_R_1_[PERSON PERSON O]_[O]
-0.544654	196	1997	2151	f_has_spouse_features-BETW_L_[conj_and conj_and]
-0.542993	166	1248	2791	f_has_spouse_features-INV_W_LEMMA_L_1_R_1_[,]_[.]
-0.53992	6	386	1404	f_has_spouse_features-INV_NGRAM_1_[Kevin]
-0.536461	22	776	1054	f_has_spouse_features-INV_NGRAM_1_[Tom]
-0.533794	6	386	1404	f_has_spouse_features-NGRAM_1_[Kevin]
-0.531087	0	133	395	f_has_spouse_features-INV_LENGTHS_[1_4]
-0.525154	18	739	693	f_has_spouse_features-NGRAM_2_[daughter of]
-0.521837	196	1997	2151	f_has_spouse_features-INV_BETW_L_[conj_and conj_and]
-0.520064	5	736	1494	f_has_spouse_features-NER_SEQ_[O PERSON PERSON O PERSON PERSON O PERSON PERSON O]
-0.516891	0	129	523	f_has_spouse_features-LENGTHS_[0_3]
-0.5163	920	11826	30481	f_has_spouse_features-INV_W_NER_L_3_R_1_[PERSON PERSON O]_[O]
-0.515463	25	592	1186	f_has_spouse_features-INV_NGRAM_1_[brother]
-0.5137	741	13310	32563	f_has_spouse_features-W_NER_L_1_R_2_[O]_[O PERSON]
-0.511573	7	135	505	f_has_spouse_features-INV_LENGTHS_[4_1]
-0.510828	36	1463	3809	f_has_spouse_features-NGRAM_1_[John]
-0.507862	169	1470	3017	f_has_spouse_features-INV_NGRAM_1_[:]
-0.507625	41	742	1845	f_has_spouse_features-INV_W_LEMMA_L_1_R_1_[-lrb-]_[-rrb-]
-0.502719	7	135	505	f_has_spouse_features-LENGTHS_[1_4]
-0.502333	36	1463	3809	f_has_spouse_features-INV_NGRAM_1_[John]
-0.489848	22	776	1054	f_has_spouse_features-NGRAM_1_[Tom]
-0.488322	113	848	1804	f_has_spouse_features-INV_NGRAM_1_[they]
-0.48832	114	1393	1891	f_has_spouse_features-INV_NGRAM_1_[daughter]
-0.487656	608	11875	29460	f_has_spouse_features-W_NER_L_1_R_3_[O]_[O PERSON PERSON]
-0.487381	18	739	693	f_has_spouse_features-INV_NGRAM_2_[daughter of]
-0.480785	113	848	1804	f_has_spouse_features-NGRAM_1_[they]
-0.476719	608	11875	29460	f_has_spouse_features-INV_W_NER_L_1_R_3_[O]_[O PERSON PERSON]
-0.464192	114	1393	1891	f_has_spouse_features-NGRAM_1_[daughter]
-0.464	741	13310	32563	f_has_spouse_features-INV_W_NER_L_1_R_2_[O]_[O PERSON]
-0.463894	21	1123	2167	f_has_spouse_features-INV_NER_SEQ_[O PERSON PERSON O PERSON PERSON O]
-0.462885	47	322	650	f_has_spouse_features-INV_NGRAM_1_[Gov.]
-0.462272	5	736	1494	f_has_spouse_features-INV_NER_SEQ_[O PERSON PERSON O PERSON PERSON O PERSON PERSON O]
-0.461156	10	345	762	f_has_spouse_features-NGRAM_1_[Michelle]
-0.456702	30	408	752	f_has_spouse_features-INV_NGRAM_1_[sister]
-0.455729	10	345	762	f_has_spouse_features-INV_NGRAM_1_[Michelle]
-0.452223	58	187	125	f_has_spouse_features-W_LEMMA_L_1_R_1_[Sen.]_[,]
-0.441799	58	187	125	f_has_spouse_features-INV_W_LEMMA_L_1_R_1_[Sen.]_[,]
-0.438497	21	1123	2167	f_has_spouse_features-NER_SEQ_[O PERSON PERSON O PERSON PERSON O]
-0.436222	15	784	1655	f_has_spouse_features-INV_NGRAM_1_[Jennifer]
-0.4323	41	742	1845	f_has_spouse_features-W_LEMMA_L_1_R_1_[-lrb-]_[-rrb-]
-0.430473	2	663	1562	f_has_spouse_features-INV_NGRAM_1_[Janet]
-0.430164	169	1470	3017	f_has_spouse_features-NGRAM_1_[:]
-0.428708	44	1441	4595	f_has_spouse_features-INV_W_LEMMA_L_1_R_1_[,]_[-lrb-]
-0.427405	279	2271	5465	f_has_spouse_features-INV_W_NER_L_1_R_3_[O]_[O O PERSON]
-0.423629	3	87	34	f_has_spouse_features-INV_W_LEMMA_L_1_R_1_[star]_[and]
-0.421374	10	317	496	f_has_spouse_features-NGRAM_1_[Elizabeth]
