weight	description
-10	inference_rule_formationtemporal_global2-
-8.06396	inference_rule_formation-[SAMESENT PROV=--prep_of->|geology|<-prep_from--] 
-7.53911	inference_rule_formation-[SAMESENT PROV=--prep_from->material--dobj->|describe|<-prep_from--formation<-amod--] 
-6.56094	inference_rule_formation-[SAMESENT PROV=--dep->|wuchiapingian|<-dep--] 
-5.31188	inference_rule_formationinterval-[SAMESENT PROV=--prep_in->quarries--dep->|introduction|<-dep--(<-amod--] 
-5.2483	inference_rule_formationinterval-[SAMESENT PROV=--prep_in->|microsyopinae|<-dep--] 
-5.21457	inference_rule_formationinterval-[SAMESENT PROV=--nn->|gastropod|<-nn--] 
-4.96069	inference_rule_formation-[SAMESENT PROV=,] 
-4.34822	inference_rule_formation-[SAMESENT PROV=,_Pridolian_,_Nearpass_Quarry_,_PERSON_,_LOCATION_LOCATION_,_and_the_Keyser_Member_,_LOCATION_NUMBER_Helderbergian_)_,] 
-3.70025	inference_rule_formation-[SAMESENT PROV=--appos->|resser|<-appos--series<-nn--] 
-3.38701	inference_rule_formation-[SAMESENT PROV=of_the_LOCATION] 
-3.38169	inference_rule_formation-[SAMESENT PROV=of_the] 
-3.28388	inference_rule_formation-[SAMESENT PROV=and_ORGANIZATION_ORGANIZATION_-_NUMBER_new_MISC] 
-3.27168	inference_rule_formation-[SAMESENT PROV=of_LOCATION_NUMBER_Iung_DATE_NUMBER_,_from_the_ORGANIZATION_ORGANIZATION_ORGANIZATION_(] 
-3.2441	inference_rule_formation-[SAMESENT PROV=NUMBER] 
-3.14145	inference_rule_formation-[SAMESENT PROV=INV:ORGANIZATION_ORGANIZATION_ORGANIZATION_,_and_P._multidecorata_,_from_the_upper_ORGANIZATION] 
-3.10957	inference_rule_formation-[SAMESENT PROV=of_LOCATION_LOCATION_,_LOCATION_,_Late] 
-3.10265	inference_rule_formation-[SAMESENT PROV=,_and_PERSON_PERSON_,_from_the_ORGANIZATION_ORGANIZATION_ORGANIZATION_,_together_with_NUMBER_MISC_species_,_P._mullochensis_,_from_the_lower] 
-3.05674	inference_rule_formation-[SAMESENT PROV=of_the_MISC] 
-3.04269	inference_rule_formation-[SAMESENT PROV=of_the_Dubysa_Formation_(] 
-3.02422	inference_rule_formation-[SAMESENT PROV=--nn->basin--nsubj->|humid|<-prep_in--] 
-3.01488	inference_rule_formation-[SAMESENT PROV=of_the_ORGANIZATION_ORGANIZATION_,] 
-3.00783	inference_rule_formation-[SAMESENT PROV=of_LOCATION_LOCATION_LOCATION_,_northeastern_LOCATION_,] 
-2.98537	inference_rule_formation-[SAMESENT PROV=Formation_of_LOCATION_and_Torvoscmrus_from_the_MISC_MISC_MISC] 
-2.96245	inference_rule_formation-[SAMESENT PROV=of_the_LOCATION_LOCATION_(] 
-2.9509	inference_rule_formation-[SAMESENT PROV=,_together_with_NUMBER_MISC_species_,_P._mullochensis_,_from_the_lower] 
-2.94977	inference_rule_formation-[SAMESENT PROV=--nn->basin--nsubjpass->|situate|<-prep_at--beginning<-prep_of--] 
-2.92524	inference_rule_formation-[SAMESENT PROV=INV:Formation_,_Pilton] 
-2.84846	inference_rule_formation-[SAMESENT PROV=in] 
-2.84585	inference_rule_formation-[SAMESENT PROV=in_Late_Medial] 
-2.31179	inference_rule_formation-[SAMESENT PROV=INV:siliciclastic_ORGANIZATION_ORGANIZATION_ORGANIZATION_,] 
-2.29557	inference_rule_formation-[SAMESENT PROV=INV:,_Botomian_,] 
-2.29078	inference_rule_formation-[SAMESENT PROV=INV:Headon_Hill_Formation_,] 
-2.1594	inference_rule_formation-[SAMESENT PROV=INV:(] 
-2.12778	inference_rule_formation-[SAMESENT PROV=INV:of] 
-2.12016	inference_rule_formation-[SAMESENT PROV=INV:include_indeterminate_capitosauroids_from_the] 
-2.10905	inference_rule_formation-[SAMESENT PROV=INV:Formation_of_the] 
-2.07475	inference_rule_formation-[SAMESENT PROV=Formation_NUMBER] 
-2.04501	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--prep_from->|fauna|<-dep--)<-nn--] 
-2.02804	inference_rule_formation-[SAMESENT PROV=INV:MISC_MISC_MISC_MISC_MISC] 
-2.00111	inference_rule_formation-[SAMESENT PROV=clay_,_late] 
-1.99858	inference_rule_formation-[SAMESENT PROV=INV:Rewan_Formation_of_the] 
-1.94535	inference_rule_formationinterval-[SAMESENT PROV=--prep_from->only--advmod->|SAMEPATH] 
-1.90342	inference_rule_formation-[SAMESENT PROV=INV:,] 
-1.90209	inference_rule_formation-[SAMESENT PROV=INV:to_MISC_species_such_MISC_elegans_(_Faujas_,_DATE_NUMBER_,_Campanile_pseudoobeliscus_(_PERSON_,_DATE_)_and_LOCATION_cf._compressa_(_PERSON_,_DATE_)_,_the] 
-1.89848	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--prep_from->|bu|<-dep--)<-amod--] 
-1.88948	inference_rule_formation-[SAMESENT PROV=INV:taxa_,_such_as_Conorbis_protensus_NUMBER_PERSON_,_DATE_)_,_Rhinoclavis_submelanoides_NUMBER_PERSON_,_DATE_NUMBER_,_Rhinoclavis_voglinoi_(_PERSON_,_DATE_NUMBER_,_Gourmya_baluchistanensis_(_PERSON_,_DATE_)_,_Seraphs_cf._subconvolutus_NUMBER_d?Orbigny_,_DATE_)_and_Capulus_anceps_(_PERSON_,_DATE_)_,_as_well_as_Oligocene_to_MISC_species_such_MISC_elegans_(_Faujas_,_DATE_NUMBER_,_Campanile_pseudoobeliscus_(_PERSON_,_DATE_)_and_LOCATION_cf._compressa_(_PERSON_,_DATE_)_,_the] 
-1.874	inference_rule_formation-[SAMESENT PROV=Formation_,] 
-1.87244	inference_rule_formation-[SAMESENT PROV=of_Much] 
-1.86703	inference_rule_formation-[SAMESENT PROV=INV:)_,] 
-1.81801	inference_rule_formation-[SAMESENT PROV=INV:,_Tremadoc_Series_,] 
-1.8177	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--prep_from->crinoid--prep_of->|palaeobiology|<-dep--)<-amod--] 
-1.8059	inference_rule_formation-[SAMESENT PROV=INV:)] 
-1.80348	inference_rule_formation-[SAMESENT PROV=INV:of_the] 
-1.79993	inference_rule_formation-[SAMESENT PROV=--nn->|formation|<-appos--] 
-1.75076	inference_rule_formation-[SAMESENT PROV=ORGANIZATION_,] 
-1.74991	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--prep_to->|belong|<-dobj--)<-amod--] 
-1.74913	inference_rule_formation-[SAMESENT PROV=--nn->|SAMEPATH] 
-1.74431	inference_rule_formation-[SAMESENT PROV=ORGANIZATION_NUMBER] 
-1.74163	inference_rule_formation-[SAMESENT PROV=Formation_NUMBER_Lower] 
-1.70192	inference_rule_formation-[SAMESENT PROV=(] 
-1.68849	inference_rule_formation-[SAMESENT PROV=Formation_has_been_dated_as] 
-1.68176	inference_rule_formation-[SAMESENT PROV=--nn->|formation|<-amod--] 
-1.67936	inference_rule_formation-[SAMESENT PROV=] 
-1.6783	inference_rule_formation-[SAMESENT PROV=of_the_basal] 
-1.66856	inference_rule_formation-[SAMESENT PROV=--nn->|)|<-nn--] 
-1.66304	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--prep_from->|bryozoa|<-dep--)<-amod--] 
-1.63019	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--prep_from->nhm--dep->|)|<-amod--] 
-1.62913	inference_rule_formation-[SAMESENT PROV=INV:Series_,_Much_Wenlock] 
-1.61926	inference_rule_formation-[SAMESENT PROV=--dep->|zone|<-dep--] 
-1.61756	inference_rule_formation-[SAMESENT PROV=INV:species_such_MISC_elegans_(_Faujas_,_DATE_NUMBER_,_Campanile_pseudoobeliscus_(_PERSON_,_DATE_)_and_LOCATION_cf._compressa_(_PERSON_,_DATE_)_,_the] 
-1.61378	inference_rule_formation-[SAMESENT PROV=NUMBER_Lower] 
-1.60808	inference_rule_formation-[SAMESENT PROV=has_been_dated_as] 
-1.60097	inference_rule_formation-[SAMESENT PROV=--nn->|)|<-amod--] 
-1.5942	inference_rule_formation-[SAMESENT PROV=,_Lower] 
-1.58833	inference_rule_formation-[SAMESENT PROV=INV:NUMBER] 
-1.57918	inference_rule_formation-[SAMESENT PROV=INV:Series_,_Nodular_Beds_Member_of_Much_Wenlock] 
-1.57873	inference_rule_formation-[SAMESENT PROV=Member_of_Much] 
-1.57658	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--prep_of->member--prep_from->nhm--dep->|)|<-amod--] 
-1.57202	inference_rule_formation-[SAMESENT PROV=MISC_NUMBER] 
-1.56881	inference_rule_formation-[SAMESENT PROV=INV:trilobites_from_the] 
-1.56238	inference_rule_formation-[SAMESENT PROV=--nn->|group|<-nn--] 
-1.55732	inference_rule_formation-[SAMESENT PROV=--nn->|formation|<-dep--] 
-1.55305	inference_rule_formation-[SAMESENT PROV=ORGANIZATION_(] 
-1.55192	inference_rule_formation-[SAMESENT PROV=,_late] 
-1.54009	inference_rule_formation-[SAMESENT PROV=,_Late] 
-1.53981	inference_rule_formation-[SAMESENT PROV=Formation_NUMBER_MISC] 
-1.52912	inference_rule_formation-[SAMESENT PROV=of_the_ORGANIZATION] 
-1.51709	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--conj_and->|prouintatherium|<-conj_and--] 
